11.12.95;2475,04
12.12.95;2478,04
13.12.95;2468,45
14.12.95;2465,5
17.12.95;2498,74
18.12.95;2513,09
19.12.95;2527,3
21.12.95;2527,43
24.12.95;2550,42
25.12.95;2551,22
26.12.95;2550,89
27.12.95;2557,58
28.12.95;2540,16
01.01.96;2553,98
02.01.96;2556,44
03.01.96;2530,13
04.01.96;2543,91
07.01.96;2528,63
08.01.96;2543,07
09.01.96;2552,93
11.01.96;2561,4
14.01.96;2555,26
15.01.96;2549,21
16.01.96;2562,15
17.01.96;2565,4
18.01.96;2552,36
21.01.96;2549,23
22.01.96;2551,73
23.01.96;2552,49
24.01.96;2543,14
25.01.96;2540,35
28.01.96;2559,9
29.01.96;2572,24
30.01.96;2575,37
31.01.96;2568,14
01.02.96;2561,24
04.02.96;2561,73
05.02.96;2575,92
06.02.96;2570,07
07.02.96;2572,08
08.02.96;2583,04
11.02.96;2552,91
12.02.96;2560,43
13.02.96;2573,21
14.02.96;2573,75
15.02.96;2545,96
18.02.96;2547,98
19.02.96;2483,77
20.02.96;2501,04
21.02.96;2510,39
22.02.96;2523,21
25.02.96;2484,59
26.02.96;2478,68
27.02.96;2455,87
28.02.96;2473,79
29.02.96;2471,72
03.03.96;2476,08
04.03.96;2457,31
05.03.96;2471,41
06.03.96;2491,4
07.03.96;2505,62
10.03.96;2522,43
11.03.96;2522,78
12.03.96;2529,29
13.03.96;2540,13
14.03.96;2528,57
17.03.96;2527,22
18.03.96;2539,51
19.03.96;2541,01
20.03.96;2548,77
21.03.96;2550,92
24.03.96;2563,9
25.03.96;2561,63
26.03.96;2544,38
27.03.96;2542,15
28.03.96;2559,09
31.03.96;2548,4
01.04.96;2554,88
02.04.96;2567,21
03.04.96;2555,45
04.04.96;2541,74
07.04.96;2536,11
08.04.96;2514,8
09.04.96;2528,24
10.04.96;2526,82
11.04.96;2520,52
14.04.96;2548,21
15.04.96;2566,04
16.04.96;2566,17
17.04.96;2572,39
18.04.96;2591,29
21.04.96;2621,74
22.04.96;2624,29
23.04.96;2629,38
24.04.96;2621,8
25.04.96;2641,43
28.04.96;2628,35
29.04.96;2637,28
30.04.96;2654,06
01.05.96;2668,49
02.05.96;2657,98
05.05.96;2646,82
06.05.96;2658,64
07.05.96;2669,89
09.05.96;2676,82
12.05.96;2701,14
13.05.96;2695,7
14.05.96;2697,44
15.05.96;2685,15
16.05.96;2685,94
19.05.96;2693,84
20.05.96;2723,52
21.05.96;2716,57
22.05.96;2715,02
23.05.96;2732,31
26.05.96;2726,71
27.05.96;2720,67
28.05.96;2697,9


hoffe das hat dir weitergeholfen

Eriks
