17.09.	netto (Eggelingen, 11:00)	
               24.08.	McGeiz (Todenfeld, 10:00)	
               14.05.	Cörvers (Völlen, 14:30)	
               29.09.	Klaus (Todenfeld, 10:30)	
               24.11.	KDG	
               22.09.	Thumersbach VNS (Sondersbach, 11:00)	
               03.03.	Köpi (Hailfingen, 11:00)	
               10.03.	Kitus (Todenfeld, 10:00)	
               27.08.	Karsties (Eixe 10:00)	
               22.09.	KJF (Traidersdorf, 14:00)	
               20.10.	Killerbeast (Bookholt, 15:00)	
               13.09.	Magdans (Glattfelden, 11:00)	
               23.09.	KMV (Engelnstedt 10:00)	
               01.07.	K!MO (Sondersbach, 10.00)	
               20.10.	Kagos Hambühl (Prambachkirchen
Haren, 10:30)	
               24.06.	Kirskens (Großthiemig, 10:00)	
               01.06.	KHDP (Eixe, 10:30)	
               21.10.	Kfz-Hobbywerkstatt (Todenfeld, 10:00)	
               19.07.	KashKa (Todenfeld, 11:00)	
               03.02.	Kram (Todenfeld, 10:00)	
               04.08.	Brantner (Windhäusern, 10:30)	
               25.06.	BSUO (Heidenheim, 11:00)	
               24.09.	Blütezeit (Jakobshagen, 10:00)	
               08.10.	baby1one (Sondersbach, 10:30)	
               25.08.	Brunck (Dudensen, 14:00)	
               13.10.	Bernsteinwerkstatt (Canstein, 10:00)	
               16.09.	Sutmöller (Oberwinden, 11:00)	
               22.09.	Schnasse (Perating, 11:00)	
               06.07.	Schano (Kühlenfels, 15:00)	
               24.08.	Sparkauf (Heudorf, 10:00)	
               24.08.	Sude (Sondersbach, 11:00)	
               29.09.	Elew (Todenfeld,
10:30)	
               22.09.	Eventsoft (10:30)	
               26.08.	EEHZ (Eixe, 10:00)	
               10.09.	escapade (Plaaz, 13:30)	
               23.04	ekobar (Jakobshagen, 10:30)	
               18.08.	Egahi
(Jeersdorf, 10:00)	
               24.06.	Efrin (Grobenhof, 10:30)	
               09.06.	Esim (Plügge, 11:00)	
               13.08.	Equiva Werk Hornussen (Hornussen, 10:00)	
               11.08.	ESO (Grötzingen, 13:00)	
               27.08.	Eisdiele (Todenfeld)	
               08.09.	Potthoffs (Zieko)	
               17.08.	Aschenbroich, Lukas (Plaaz)	
               06.08.	TDK (Dudensen, 11:00)	
               29.09.	Tubach (10:30)	
               14.10.	toplieb (Plaaz, 11:00)	
               16.09.	TOTAL (Dudensen, 10:30)	
               13.10.	Tattoo's (Sondersbach, 10:00)	
               08.09.	Trekkinghaus (Großthiemig, 11:00)	
               25.08.	Ingmar (Windhäusern, 10:00)	
               17.02.	Tschatta (Windhäusern, 10:00)	
               21.09.	ZFV (Sondersbach, 10:30)	
               23.09.	Zobiak (Dahlhausen, 15:30)	
               21.09.	Söndgen, Franziska (Großthiemig, 11:00)	
               05.08.	ZMUN (Traidersdorf, 10:00)	
               08.09.	Zura (Todenfeld, 10:30)	
               28.07.	Zolleis (Plaaz, 10:00)	
               27.01.	Zugvogel (Seufertshof, 11:00)	
               05.10.	ZFS (Jakobshagen, 11:00)	
               01.10.	Zelaw (Eixe)	
               29.10.	ZRU (Hürben, 11:00)	
               03.09.	ZOKK (Eixe, 10:00)	
               24.09.	Zautoo (Jettenburg, 14:30)	
               27.08.	Zero (Alkertshausen)	
               24.09.	Zeugs Leta
(Pfieffe)	
               12.10.	Zingaro (Jakobshagen, 10:00)	
               22.07.	ZOL (Ziesendorf, 10:00)	
               20.05.	zweitausendeins (Todenfeld, 10:00)	
               01.10.	Brigitta (Drüsedau, 11:00)	
               03.06.	ZFF (Eichenbühl, 14:00)	
               25.09.	ZTO (Großgollern,	
               28.06.	Zeitungskiosk (Dinkelscherben)	
               15.10.	Zieschner (Todenfeld, 10:00)	
               12.05.	ZNRW (Fußenberg, 11:00)	
               07.10.	ZVBE (Großthiemig, 11:00)	
               29.09.	Zopi (Plaaz, 11:00)	
               02.06.	Zymara (Putlitz, 11:00)	
               06.09.	ZIG (Eixe, 17:30)	
               22.09.	ZOUN (Sondersbach, 10:30)	
               25.08.	ZDZ (Windhäusern, 16:00)	
               07.09.	Zeitzeichen, 10:30)	
               01.09.	Zanek (Oberplaika, 11:00)	
               27.08.	ZZU (Dudensen, 10:30)	
               25.06.	Zepevu (Vorderkehr, 11:00)	
               22.09.	ZZVW (Dudensen, 11:00)	
               24.09.	zeilenreich (Todenfeld)	
               19.07.	Zoschke (Todenfeld, 10:30)	
               25.11.	Zeininger (Zaiselham, 10:30)	
               22.09.	Mehlfelds Multyfarm (Canstein)	
               15.09.	Miksch (Allmosen, 11:00)	
               08.10.	Marsala (Todenfeld, 10:30)	
               18.06.	Mesam (Eggelingen, 10:00)	
               08.06.	Mifopi (Windhäusern, 10:00)	
               24.05. 	Mohag (Viehhausen, 11:00)	
               09.08.	Mannshausen (Eggelingen, 15:30)	
               07.09.	MGHZ (Eixe, 10.00)	
               21.10.	Mallach (Todenfeld, 14:30)	
               30.09.	Mlynek (Eixe, 11:00)	
               24.09.	Nähstübchen (Zaiselham, 10:00)	
               22.06.	LPG (Fußenberg, 11:00)	
               04.08.	Gumo (Obdachegg, 10:30)	
               23.09.	Gardrobenwechsel (Zaiselham, 11:00)

               12.08.	IWTU (Grobenhof, 10:00)	
               13.10.	ITMS (Jakobshagen, 10:30)	
               12.08.	IHT (Windhäusern, 10:00)	
               16.09.	IGR (Elverlingsen,
16:00)	
               16.07.	IGKD (Großthiemig, 11:00)	
               29.09.	Ipeh (Dunwarden, 15:30)	
               02.09.	IMD (Elverlingsen)	
               24.09.	IFNV 11:00)	
               30.09.	ICUH (Tonndorf, 15:00)	
               10.06.	INTN (Grobenhof, 12:00)	
               24.06.	Ihigi (Todenfeld, 10:30)	
               17.08.	IBVW (Großthiemig, 10:30)	
               02.09.	Indien-Shop (Großthiemig 10:00)	
               23.09.	InPut Computersysteme (Eixe, 10:30)	
               22.10.	ALRO (Vorderwald, 11:00)	
               22.10.	Amosu (Todenfeld, 11:00)	
               26.07.	Aktivmarkt (Ausleben, 10:30)	
               01.10.	Jakobsen (Löhndorf, 10:00)	
               08.09.	ACSR (Engelnstedt)	
               23.11.	Avanco (Oberbaldingen 11:00)	
               12.11.	AGABA (Obenstrohe, 10:30)	
               21.09.	Adhoc (Arnsdorf, 10:30)	
               08.09.	Achtern (Großthiemig, 10:00)	
               02.08.	Afew (Jakobshagen, 11:00)	
               15.09.	Adizi
(Jakobshagen, 10:00)	
               22.10.	AyyadBeteiligung (Jakobshagen,
10:00)	
               12.10.	JCB (Geislareuth, 10:30)	
               07.10.	JDKJ (Fußenberg, 15:00)
