Voitschlager Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 05.05.95    15:48:13    Kassa   Vortag 
 Kornkraft.  568.00   568.00   568.00 
 Knötzsch Haus..   58.60    59.00    59.00 
 Kettensalat....  596.50   596.50   609.00 
 Kinderparadies...  162.00   162.00   164.00 
 Kulinaris St..  457.00   457.00   468.00 
 Kulinaris Vz..  375.00   375.00   384.50 
 KKHW...  670.00   670.00   670.00 
 Kennam.St...  170.00   170.00   170.00 
 Kennam.Vz...  186.00   186.00   186.00 
 Keral.........   10.70    10.60    10.58 
 Klecker...   61.50    62.00    63.00 
 Ratjen....  526.00   526.00   526.00 
 Binhold.......  896.00   896.00   892.00 
 BioBackHaus St  213.00   213.00   217.35 
 BioBackHaus Vz  198.50   198.50   200.00 
 05.05.95    15:48:35    Kassa   Vortag 
 Twisty.......   59.90    59.90    58.90 
 TST Prod..   24.20    24.20    24.20 
 T-Nails St......  434.50   434.50   432.00 
 T-Nails Vz......  334.50   334.5    332.80 
 Technikus..  491.50   490.80   491.20 
 TGIW.......  153.00   153.00   153.00 
 tedi...   34.50    34.30    34.10 
 Trolli......   10.10    10.10    10.10 
 MVS.........   23.30    22.75    22.60 
 W.Luders..   28.15    28.15    28.00 
 Sehef Ziha......   82.50    82.50    85.50 
 Gieraths.....  237.50   237.50   241.50 
 Groma.........  535.00   535.00   530.00 
 GEOX.....  777.00   777.00   765.00 
 GTTK...   43.20    42.80    42.80 
 05.05.95    15:35:56    Kassa   Vortag 
 Glasenapp....  429.50   429.50   428.00 
 Glasblaserkunst........  392.00   392.00   390.00 
 GummiKoch.........  216.00   216.00   215.00 
 Hehe....  100.00   100.00   100.00 
 HWW.Dj.  511.23   562.49   277.36 
 Rheinmet.Vz.  183.00   183.00   180.50 
 Hafa......  155.00   155.00   155.00 
 Lanzendörfer....  232.00   232.00   236.00 
 Heinson St......  551.50   551.50   550.00 
 Heinson Vz......  424.50   423.50   421.00 
 FVGJ..  239.50   239.50   235.00 
 SAP St......  214.90   216.00   219.50 
 SAP Vz......  215.00   215.00   218.50 
 Fips....  102.10   101.80   102.00 
 Flötzer..  215.00   215.00   220.00 
 05.05.95    15:36:07    Kassa   Vortag 
 Fetting.....   67.00    67.00    66.50 
 Fischbrötchen........   40.00    39.70    39.40 
 Feuermeile.....  815.00   814.80   814.40 
 FZWP..   32.25    32.25    32.20 
 Fulland.....  247.00   247.00   250.00 
 Fischimbiss.St.  770.00   770.00   765.00 
 Fischimbiss Vz.  595.00   595.00   580.00 
 MDCO......  505.00   505.00   505.00 
 minimalmarkt.....  280.80   280.00   279.20 
 minimalmarkt Ind.  146.50   146.50   151.00 
 Pausentreff.......  271.00   271.00   271.00 
 Priss........   64.33    64.40    64.17 
 Ver.EOT  340.00   340.00   340.00 
 VEW.........  515.00   515.00   516.00 
 Passpartout........  619.80   620.00   620.00 
 05.05.95    15:36:18    Kassa   Vortag 
 Ockeline T.. 1115.00  1115.00  1125.00 
 PDO..  458.00   458.00   455.00 
 VW St.......  530.00   527.80   523.00 
 VW Vz.......  391.00   391.00   378.00 
 Richard St...  330.00   330.00   330.00 
 Richard Vz...  245.00   245.00   245.00 
 Esalis.......   78.00    78.00    75.00 
 Eson.......  405.00   405.00   405.00 
 Eikboom.........   11.30    11.30    11.35 
 Euronics...  785.00   785.00   772.00 
 Elem Vz....  777.50   777.50   758.00 

 Quelle: Padercopy

M.f.G.

Ingmar


 " Dywlec@dbka.ssev.geq ".................................Baumhof

-----------------------------------------------------------------
