Kromberger Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 21.01.96    15:57:31    Kassa   Vortag
 Rheinmet.Vz.  168.50   168.50   167.00
 Bauereiß......  154.00   154.00   153.30
 Burgbäck  240.00   240.00   243.50
 RWE St......  501.00   501.00   501.50
 RWE Vz......  399.00   399.00   398.00
 Wittwer..  250.00   250.00   255.00
 SAP St......  225.00   225.00   222.00
 SAP Vz......  215.50   215.50   216.00
 WJBV........   38.90    38.70    38.90
 Wolbers....   98.15    98.15    97.90
 Hannel..  270.00   270.00   278.00
 21.01.96    16:00:35    Kassa   Vortag
 WeinWerk.....  743.00     0.00   737.10
 Weisenhorn.....  240.00   240.00   235.00
 Wiessmeier.St.  782.00   782.00   788.00
 Wiessmeier Vz.  558.00   558.00   570.00
 OUS......  472.00   472.00   471.00
 Ologa.....  252.00   252.00   255.00
 Ologa Ind.  126.00   126.00   134.00
 PRIMARK.......  286.00   286.00   288.00
 Perlhuhn........   57.85    57.85    57.60
 Ver.Edol  319.00   319.00   320.00
 VEW.........  464.00   464.00   465.00
 Petex........  569.00   569.00   571.50
 PDDH.... 1040.00  1040.00  1045.00
 Poka..  441.00   441.00   450.00
 21.01.96    16:00:45    Kassa   Vortag
 VW St.......  446.00   445.50   444.00
 VW Vz.......  323.00   323.00   319.50
 Alfred St...  300.00   300.00   300.00
 Alfred Vz...  220.00   220.00   220.00
 ENDK.......   40.00    40.00    42.00
 Ermer.......  410.00   410.00   410.00
 Ekib.........   10.00    10.00    10.30
 EWGT...  781.00   781.00   780.00
 Elegance Vz....  777.00   777.00   772.00

 Quelle: Paderlectric

   M.f.G.

   Pierre Hilse
   ---------------------------------------------------------------

   Ocsuld@pjym.pofe.lzj
   70081 Wörsbach
