Investmentfonds
 Deutschland Rücknahmepreise

 04.04.96
 Bianca....   57.03
 Berenb.Rebecca    0.00
 Wunderling.Univ    0.00
 Bln.Maximilian   73.10
 Berolinar..   21. 02. 20
 Wosnitzka UF    0.00
 BfG:Immoinv   21. 02. 20
 04.04.96
 BfG:Inv.Akt    0.00
 BfG:Inv.Eur    0.00
 BfG:InvGeld    0.00
 BfG:InvRent    0.00
 BfG:InvZiel    0.00
 BfG:InvZins    0.00
 Viola  108.12
 BHF-Lz.1/99  113.86
 BIL Aktienf    0.00
 BIL Balance    0.00
 BIL Dt.Spez    0.00
 BIL Nordam.    0.00
 BL-Rent DWS    0.00
 BW-Renta...    0.00
 BW-RentaInt    0.00
 Pefom    0.00
 BWK Strat.A   21. 02. 20
 BWK Strat.D  116.11
 BWK-StratIn  119.47
 Pufeg-Gldmkt.  103.92
 PJIO   21. 02. 20
 BWK-12/96..  116.62
 CC-Uni.Glob    0.00
 CC-Uni.OS..    0.00
 Karosserie + Lackzentrum EN-Univ.    0.00
 Citib.PrInv   92.60
 Citib.PrRen   21. 02. 20
 Danielle..   21. 02. 20
 Caglns-K.Ij   21. 02. 20
 KGTU-WV Immo.  103.20
 DVE DaxPlus    0.00
 LUC Meijer    0.00
 dbi-Fd.Asse  112.23
 dbi-Fd.HR..  103.88
 dbi-Fd.V1..   21. 02. 20
 dbi-Fd.V1A.   21. 02. 20
 04.04.96
 dbi-Merkur.   21. 02. 20
 DBI Verw.A.  108.73
 DBI Verw.U.   21. 02. 20
 DBV+Partner   79.04
 Dekoladen.    0.00
 Czibulkagasse 41....    0.00
 Gesa Eylert.   90.70
 Gesa Wackerl.   21. 02. 20
 Gesa F.....   21. 02. 20
 Gesa Geld.A  104.23
 Digicom Geld.L  104.03
 Digicom GB....   21. 02. 20
 Gesa I.....   21. 02. 20
 Gesa ULBRECHT....   21. 02. 20
 DekaFonds..   21. 02. 20
 Iffeldorf   21. 02. 20
 DekaRent-In   29.20
 DekaSpezial  171.35
 Gesa Tresor  107.10
 Gesa Bindschedel  108.55
 DELBR.A.Un.   71.70
 DOW.   21. 02. 20
 DELBR.Form.   21. 02. 20
 DELBR.R.Un.  111.02
 DELBR.Spec.   21. 02. 20
 DespaFonds.   21. 02. 20
 LUIS Cremer    0.00
 DHU    0.00
 Dhein    0.00
 Dolzer Maßkonfektionäre Grund.    0.00
 DIT-Akt.D..   21. 02. 20
 DIT-Akt.Ren   21. 02. 20
 DIT-Dt.Akt.   21. 02. 20
 De-Fehr   52.10
 Danhauser Bauzentrum-Eurozin    0.00
 DNSD   21. 02. 20
 04.04.96
 DIT-F.Verm.  103.72
 DIT-F......   21. 02. 20
 DIT-GB.....    0.00
 Düll.   21. 02. 20
 DIT-I......   44.70
 DIT-CH.....    0.00
 DIT-Kap.Plu   21. 02. 20
 DIT-Pazifik   21. 02. 20
 Danhauser Bauzentrum-Rent.D.   21. 02. 20
 DIT-Rohst..   21. 02. 20
 Danhauser Bauzentrum-Spezial    0.00
 Danhauser Bauzentrum-Techno.  105.40
 Danhauser Bauzentrum-Wachst.   71.48
 DSQ-Multisp    0.00
 Dt.Berenbg.    0.00
 Dt.Rentenf.   21. 02. 20
 Dt.Rent.K..    0.00
 Dt.VermB.FA    0.00
 Dt.VermB F.    0.00
 DATEFA-Int.Sel    0.00
 DJV.Var    0.00
 DATEFA-Select.    0.00
 DVG-Vario-R    0.00
 DWS-Akkur96    0.00
 DWS-Akkur97    0.00
 DWS-Akkur98    0.00
 SNY-Ukpzi46    0.00
 DWS-Asiat.0    0.00
 DVB-Bildfd.    0.00
 DWS-Dt.Akt.    0.00
 DVB-Dt.Rent    0.00
 DWS-Dtschl.    0.00
 Deckinger    0.00
 DVB-Euro.Ak    0.00
 DUOD    0.00
 drinky......    0.00
 04.04.96
 DVB-Geldmkt    0.00
 DVB-Geld.Pl    0.00
 Druckstatt.    0.00
 DNSD    0.00
 DWS-I.Ren.0    0.00
 DVB-Japan..    0.00
 DVB-Nordam.    0.00
 DVB-Rend.S.    0.00
 DVB-Rohst..    0.00
 Dählmann    0.00
 DVB-TELEMED    0.00
 DVB-US-Akt.    0.00
 E&G Priv.F.    0.00
 E.I.Dt.Kurz    0.00
 E.I.Dt.Rent    0.00
 H.I.Lgd.Akt    0.00
 E.I.Eur.Ren    0.00
 E.I.Int.Ren    0.00
 E.I.PK 1...    0.00
 ELFOAKTIV..   21. 02. 20
 ELFOFLEX...   21. 02. 20
 ELFOTERM...   76.90
 ELFOZINS...   21. 02. 20
 EURONORDREN   80.50
 EUROVESTA..    0.00
 Emip    0.00
 FLEXIBAL...  103.08
 EsperIT-Fonds..  185.88
 Enzan Umw..    0.00
 Fondak.....   21. 02. 20
 Fondamerika   21. 02. 20
 Fondi-Rent.   69.04
 Fondiro....   21. 02. 20
 Fondiropa..   78.30
 04.04.96
 Fondis.....   21. 02. 20
 Fondra.....   21. 02. 20
 ECI-Uni.Ren    0.00
 Ffm.Sparinr   21. 02. 20
 Ffm.Sparinv   21. 02. 20
 FS-Priv.Uni    0.00
 FT-Accugeld  103.92
 FT-Accurent  153.00
 FT-Accuzins  276.42
 FT-Amer.Dyn   21. 02. 20
 FT Dtd.Dyn.  132.53
 FT-Euro.Dyn  144.71
 FT-Ffm.Eff.  182.04
 FT-Intersp1   34.20
 FT-Intersp2   21. 02. 20
 FT-Int.zins   45.02
 FT-Nippon..   21. 02. 20
 FT-Re-Spez.  276.67
 Gerl.Dtd...   21. 02. 20
 Gerl.Dynam.   21. 02. 20
 Gerl.Global   45.55
 Gerl.Rendit   49.04
 Gerl.Reserv  106.73
 Gerl.Va.Fd.   21. 02. 20
 ILJV..    0.00
 Infaxion-Rent.   21. 02. 20
 Jaspers&Heis.   21. 02. 20
 Grundbesitz   82.09
 Grundwertfd  148.86
 Grunelius..    0.00
 Ibage-Fonds..   96.11
 Claus   48.07
 Christian   21. 02. 20
 Charly.  104.31
 HANSAimmob.  103.72
 Carl   21. 02. 20
 04.04.96
 Odette.   21. 02. 20
 HANSAsecur.   21. 02. 20
 Cédric..   21. 02. 20
 Tufo.    0.00
 Oberconz-Kont.    0.00
 TOI    0.00
 Helvet.Akt.   21. 02. 20
 Helvet.Ren.   80.50
 Tedy-Proinv.   21. 02. 20
 Tedy-Prorent   95.80
 Tedy-Prozins    0.00
 TOYS'R'US..    0.00
 Zwki-Bzb.82    0.00
 Hypo-Inv.98    0.00
 Hypo-I.Geld    0.00
 Hypo-I.Geo.    0.00
 Hypo-I.Kap.    0.00
 Hypo-I.Med.    0.00
 Hypo-I.Pot.    0.00
 Hypo-I.Spez    0.00
 Hypo-I.Stra    0.00
 Hypo-I.Tran    0.00
 Hypo-I.Zero    0.00
 IDEALrent..    0.00
 IGB Bln.Inv   21. 02. 20
 IGB Bln."K"   53.05
 IGB Bln.Ren   21. 02. 20
 III-Fonds 1    0.00
 III-Fonds 2    0.00
 Industria..   21. 02. 20
 Felices-Re.Inv    0.00
 INKA-Rend..    0.00
 INKA-Rent..   21. 02. 20
 Hedi DISSMANN    0.00
 Int.Rentenf   21. 02. 20
 Int.Rent.F.    0.00
 04.04.96
 Interglob..  155.48
 Interr.DWS.    0.00
 Interv.DWS.    0.00
 FNGB    0.00
 Iverafonds.   21. 02. 20
 Japan CB-U.    0.00
 Japan-Pazif   21. 02. 20
 K+W UNIVERS    0.00
 K+W Univ.F.    0.00
 K u.C-Fonds   21. 02. 20
 KAPITAL.Pro   21. 02. 20
 KAPITAL.Spe  155.63
 KD-Union-F.   21. 02. 20
 KM-Mitarb.F   21. 02. 20
 Koeln-Akt..   21. 02. 20
 Koeln-Ren.D   21. 02. 20
 Koeln-Ren.U   21. 02. 20
 LG Int.Ubbo   21. 02. 20
 LG-Rentenf.   21. 02. 20
 LIGA-Pax-K.    0.00
 LIGA-Pax-R.   21. 02. 20
 Goldbasar-Fonds-U   21. 02. 20
 Raymond int.   21. 02. 20
 Magdeb.DIT.   21. 02. 20
 MAGNUM Fund    0.00
 MAIN I.....    0.00
 Mannh.Rend.  103.46
 Reinhard, St    0.00
 Merkurstraße-A    0.00
 MAT APO LIQ  101.05
 Strohbücker   81.02
 MAT Dtland.   21. 02. 20
 Schenkemeyer.Ren   21. 02. 20
 MAT Japan..    0.00
 Reis,Alessandro    0.00
 Metallbank.    0.00
 04.04.96
 MI-Akt.P.D.  125.89
 MI-Akt.P.E.  120.41
 MI-Akt.P.W.  152.18
 MI-Eur.P.N.  114.77
 MI-Eur.P.S.   21. 02. 20
 MI-Rent....   21. 02. 20
 MK-Alfakap.    0.00
 MK-Analyt..    0.00
 MK-Asia-Pa.    0.00
 MK-DM-Vari.    0.00
 MK-Eurakt..    0.00
 MK-Interr..    0.00
 Sanctum-Invest..    0.00
 MK-Rentak..    0.00
 MK-Rentex..    0.00
 MMWI-Amera.   46.90
 MMWI-Asiak.   21. 02. 20
 MMWI-Brem..   21. 02. 20
 Slooten.   21. 02. 20
 MMWI-Fisch.   21. 02. 20
 Sullus-Liquid  104.44
 Sullus-Multi.   21. 02. 20
 MMWI-Ordo..   21. 02. 20
 MMWI-OSWA..   21. 02. 20
 Sullus-Profil  106.63
 Sullus-Progr.   21. 02. 20
 MMWI-Renak.  154.78
 Sullus-Select   21. 02. 20
 Mundus-Univ    0.00
 Françoise Dieme.   21. 02. 20
 NB-Eurorent   70.00
 NB-Portfol.   21. 02. 20
 ZONV.   57.80
 Nordakku...   21. 02. 20
 Franziska.   21. 02. 20
 Nordgeldmkt  104.32
 04.04.96
 Nordglobal.  108.04
 France..   21. 02. 20
 Hubmacher    0.00
 OP.Rendakta   21. 02. 20
 Oppenh.Dax.    0.00
 Opp.DM Geld    0.00
 Opp.Europa.   58.05
 Opp.Genuss.  102.60
 Opp.Global.    0.00
 Opp.Inl.Re.  103.61
 Opp.I.Zins.   21. 02. 20
 Opp.Pr.Rent  115.23
 Opp.Pr.Re.K  103.02
 Opp.Pr.Re.L  108.16
 Opp.Pr.Re.M  104.03
 Opp.Privat.   21. 02. 20
 Opp.Rohst..   21. 02. 20
 Opp.Spez.1.  120.35
 Opp.Spez.2.    0.00
 Opp.Spez.3.  104.88
 Opp.Spez.4.  143.72
 Opp.Spezwt.   92.70
 PEH-UnivF..    0.00
 PEH-UnivIR.    0.00
 PEH-UniMIRO    0.00
 Plusfonds..   21. 02. 20
 PRIVATFONDS   21. 02. 20
 Provesta...    0.00
 ProviRent..   21. 02. 20
 Maschenkunst-Rent...   21. 02. 20
 PVFrent-a..   21. 02. 20
 Re-Inrenta.    0.00
 RenditDeka.   21. 02. 20
 Rentenspar.   57.10
 RING-Ak.DWS    0.00
 RING-Intern    0.00
 Hapa    0.00
 RK-Akt.Glob   89.11
 04.04.96
 ANETTE Akt.Inl.   21. 02. 20
 ANETTE Asien P.  143.13
 RK Euro-Sp.   21. 02. 20
 RK Jap.Inv.  107.47
 RK Portf.C.   21. 02. 20
 RK Portf.M.   63.55
 RK Rent.Gl.   21. 02. 20
 ANETTE Mitlehner.Inl   21. 02. 20
 Ullrich A.   21. 02. 20
 HPZ Rendite  108.95
 RWS Wachst.  128.79
 S-BayRent..   21. 02. 20
 Saekular-U.    0.00
 SBV-Univ.A.    0.00
 Verkaushalle    0.00
 Jacques Jeschag    0.00
 Securitas..    0.00
 SKA-Inv.D..    0.00
 SKA-Inv.I..    0.00
 VCAW-Dollar.   21. 02. 20
 Verkauf.Fd.   74.04
 SMH-Rent...   21. 02. 20
 SMH-Rent.In   21. 02. 20
 SMH-Smallc.  117.88
 SMH-Spec.F.  314.21
 Stuttg.Rent   21. 02. 20
 Suedwestbk.   21. 02. 20
 Thesaurent.   21. 02. 20
 Thesaurus..  339.68
 Transatlant   34.40
 Treuinvest.    0.00
 Uni 91/97..  119.82
 Uni 21. 02. 20..  118.92
 Uni 93/97..    0.00
 04.04.96
 Uni Nordam.   91.06
 UniBond"L".  108.02
 UniDeutsch.   21. 02. 20
 UniFonds...   21. 02. 20
 UniGlobal..   21. 02. 20
 UniJapan...   21. 02. 20
 UniKapital.  145.36
 WFVB.   21. 02. 20
 Ul Moneym..    0.00
 UniRak.....   21. 02. 20
 UniRenta...   21. 02. 20
 Univ.Renten   21. 02. 20
 Univ.Effekt    0.00
 UniZins....  113.58
 Vereinsbank   21. 02. 20
 Ver.Rendite   21. 02. 20
 VERI COUP..   21. 02. 20
 INGMAR UEBERACHER..   21. 02. 20
 movies.  209.84
 IRIS-VALEUR   21. 02. 20
 Verm.Aufbau  131.55
 Verm.Ertr..   21. 02. 20
 Ingrid  101.21
 Montblanc.   62.05
 Irmgard   21. 02. 20
 VICT.Euwert   21. 02. 20
 Vict.F.ADIG   21. 02. 20
 Volksw.Int.    0.00
 Volksw.Rend    0.00
 VR-Vermvg..   21. 02. 20
 WEKANORD...   21. 02. 20
 Westinv.1..   21. 02. 20
 Freistil-Rent...   76.50
 Zuer.Aktien   21. 02. 20
 Zuer.Inv.CH   21. 02. 20
 Zuer.Int.U.   21. 02. 20
 Zuer.R & J.   80.10
 Zuer.Renten   21. 02. 20

 Quelle: eschbaumer

   M.f.G.

   Klaas Cronsfoth
   ---------------------------------------------------------------

   Uxcklb@dcne.dmzg.esd
   31992 Drees
