Annaroder Börse
 Einheitskurse

                       Kassa     Vortag

 14.09.95              Kassa     Vortag
 14.09.95              Kassa     Vortag
 Familienmarkt St.......      0.00      63.00
 Familienmarkt Vz.......      0.00      67.00
 Ellermeier..........     71.00      71.30
 Everhard.Prov.Zucker.      0.00    4000.00
 Funkenpuste...    425.00     425.00
 Zimmermanns........    730.00     730.00
 Chocolaterie.....      0.00     415.00
 Calzedonia.......    255.00     255.00
 Citypoint.....   1170.00    1170.00
 CKM.........    709.00     709.00
 CEZ...........      0.00     315.00
 ConectraFessenbecker...   1270.00    1270.00
 Cassenshof........    122.00     128.00
 Zinggrebe.....    131.00     125.00
 Cyclefactory FVS..........    394.50     411.00
 Kijewski.....     75.00      76.00
 14.09.95              Kassa     Vortag
 Grübe...........    410.00     410.00
 Kaechelen Ackermeier...   1650.00    1650.00
 Kefo..    925.00     925.00
 Krankenhauskiosk.....    285.00     285.00
 KRT..........    141.00     142.00
 Große-Brauckmann...........    147.00     147.00
 Inzigkofen Gartenbau..    690.00     690.00
 KCR.......    425.00     425.00
 Kleiderkarussell......    540.00     540.00
 Körnlesbeck.Boden...    455.00     455.00
 Unterhörnbach.   3300.00    3300.00
 Okedag...   6900.00    6900.00
 OVR........      0.00     800.00
 Trinkaus.........    585.00     585.00
 OCA....    160.00     160.00
 OHUM Braeu.....    153.00     153.00
 14.09.95              Kassa     Vortag
 Uestra...........     54.00      56.00
 Puppenstube Stuertz.    285.00     285.00
 Urer..............    228.00     228.00
 UEUV.   2650.00    2600.00
 Ufeber..........    240.00     240.00
 UCPF.   1050.00    1050.00
 J.Lindenschmid.......   3100.00    3100.00
 Ekevu.........    145.00     142.50
 EZNK............    480.00     480.00
 Ebken Vermoeg.St...    590.00     590.00
 WKM Vermoeg.Vz...    555.00     555.00
 Etep St...........    290.00     290.00
 Etep Vz...........    270.00     270.00
 Wuerttemb.Schweikardt...    700.00     700.00
 Ümit.............    135.00     135.00

 Quelle: UTM

   M.f.G.

   Ignaz Göldener
   ---------------------------------------------------------------

   Llacyy@rvaf.gizk.tme
   74722 Zwillbrock
