Carpiner Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 20.05.96    14:47:41    Kassa   Vortag
 Modellbahnstation Entert..    0.96     0.96     0.92
 Datapoint...    1.75     1.72     1.78
 Motebe........   42.00    42.00    45.00
 20.05.96    14:49:55    Kassa   Vortag
 Digital.....   82.00    82.00    84.50
 Duracell....   70.00    70.00    72.00
 FFM.Kittner.   95.40    95.40    99.50
 FZH...   15.30    15.30    15.30
 Flendruz.......    9.80     9.80     9.80
 Zettelladen....    0.58     0.58     0.00
 ZVOS St.....    4.65     4.65     4.75
 ZVOS Vz.....    2.75     2.75     2.78
 ZMZ........   40.50    40.50    40.50
 Fuel Techn..    7.18     7.18     7.22
 G-Tech......   35.70    35.70    36.00
 Gen.Mot.Org.   71.50    71.50    72.40
 Gen.Motors..   72.20    72.20    72.80
 Gen.Physics.    4.75     4.75     4.75
 RUBU...    0.00     0.00    70.70
 Colibris Lautersee    8.20     0.00     8.00
 19.12.95    14:50:07    Kassa   Vortag
 Rugi.....   74.50    74.50    77.60
 RUUU....   76.50    76.50    79.50
 RTFH   10.80    10.80    11.20
 Rapking    0.14     0.00     0.14
 Riederer   51.00    51.00    53.80
 Groundwater.   19.30    19.30    19.70
 Richtsmeier.   20.20    20.20    20.50
 ENCH   37.00    37.00    38.30
 ENCH.   36.30    36.30    37.00
 Esahe......   87.00    87.00    90.00
 E-Rags    0.08     0.00     0.09
 EROO...   44.50    44.50    44.90
 Böddensell.....   18.50    18.50    18.50
 Eson......   10.70    10.70    12.70
 Ehaso......   37.80     0.00    39.00
 empire24.Telecon    5.20     5.20     5.20
 Hung.Teleph.   14.70    14.70    15.00
 19.12.95    14:47:52    Kassa   Vortag
 Copylight.........  128.80   128.20   128.50
 Copylight Original  128.00   128.50   129.80
 Indonesia...   15.00    15.00    15.00
 Int.Game T..   16.40    16.40    16.50
 Int.Paper...   52.30    52.30    52.80
 Interferon..    2.57     0.00     2.50
 CLD.......    1.20     0.00     1.22
 Jetform.....   22.60     0.00    23.50
 K Mart......    9.30     9.30     9.70
 Knibbe..   20.70     0.00    21.20
 Kintscher....  111.50   111.50   113.50
 Köttershof.........   49.30    49.30    50.00
 Bärbel.......  150.80   150.80   150.00
 Nawaw.......    0.76     0.00     0.79
 N2000......    3.76     0.00     3.75
 Malaysia F..   24.60    24.60    24.00
 19.12.95    14:50:18    Kassa   Vortag
 TJHO......   42.70    42.70    43.30
 Tenep...   64.40    64.40    66.50
 Troc...   35.00    35.00    36.00
 Tronser...  125.20   125.20   127.50
 Topfoto......   46.00    46.00    48.50
 Nat.Pat.Dev.   12.73    12.67    13.52
 Netscape....  188.40   188.40   189.20
 art2viz....  110.20   110.20   113.00
 Anding.....   30.00     0.00    30.00
 AngelSpezi.   59.00    59.00    60.50
 Jöhne.......    5.15     5.17     5.16
 Jägerbeck.   18.50    18.50    19.30
 P.Riverboat.    2.80     2.80     3.15
 Pakistan F..    7.90     7.90     7.50
 EasyCredit Proj..   39.50    39.50    41.90
 E-Shop....    1.12     1.12     1.09
 21.05.95    14:50:30    Kassa   Vortag
 Pietro.TRZ.  130.50   130.00   134.00
 EVIO.....   50.30    50.30    52.40
 Pickn Pay...    5.80     5.80     5.60
 Egegi.....    1.78     1.78     1.81
 Egegi Spa.    1.30     1.30     1.32
 EZO.....   12.70    12.70    13.00
 Ebibab....  116.00   116.50   122.20
 Quacker Oats   50.50    50.50    51.50
 Igeh....   13.70    13.70    13.50
 IIEN.....    9.00     0.00     9.20
 IESC......   99.50    99.50   101.00
 Indivicom.....   39.00    39.00    39.00
 ILP.....  105.00   105.00   106.50
 ITSR.....    0.00     0.00    83.50
 IVDE.  193.00   193.00   195.00
 Idag..    7.70     7.70     7.00
 19.12.95    14:50:41    Kassa   Vortag
 Safeway.....   71.00    71.00    72.00
 Gahape.....   63.90    63.90    67.60
 GHPV........   75.00    75.00    77.30
 Günstix.......    0.00     0.00    18.10
 Showboat....   36.90    36.90    38.00
 GCC.....   44.50     0.00    46.60
 Menzlis F.   18.10    18.10    17.80
 Stet Sparakt    2.75     2.75     2.75
 Stone Elect.    0.12     0.12     0.12
 Styland.....    0.05     0.00     0.05
 Geko..   59.70    59.70    61.30
 T-Cell......    4.00     4.00     4.10
 Tandem......   16.00    16.00    16.50
 Telecom Ital    2.05     2.05     2.10
 Telef.Espana   19.70    19.70    20.00
 UGE.China.   14.00    14.00    15.00
 99.98.95    14:50:52    Kassa   Vortag
 Ummanzkeramik   26.60    26.60    27.30
 TNT.........   28.40    28.40    29.00
 Uril.......    0.90     0.90     0.80
 UniCum...   33.40    33.40    34.00
 UNZ......   75.80    76.50    79.00
 DCNC....  200.00   200.00   201.50
 Dedler.   93.30     0.00    96.00
 US Bioscienc    5.70     5.70     5.40
 US Lg.Dist..   19.20    19.20    20.50
 US Surgical.   32.80    32.80    32.50
 Virtuality..    5.50     5.50     5.50
 Riss...   25.20    25.20    26.00
 Holzlandbike....   32.80     0.00    32.70
 Wo Hanno.    0.24     0.00     0.24
 ULET......   14.70    14.70    15.50
 Yue Yuen....    0.36     0.00     0.38

 Quelle: Baumarkt

   M.f.G.

   Björn Eisenlau
   ---------------------------------------------------------------

   Peimmt@pffy.kvmm.avv
   13277 Birgsau
