Beilinger Börse
 Einheitskurse

                       Kassa     Vortag

 02.09.95              Kassa     Vortag
 BMDW........   2700.00    2700.00
 BMDW Leben..   2020.00    2020.00
 manstein....    190.00     195.00
 MPOM Minen......    175.00     175.00
 02.09.95              Kassa     Vortag
 Zametzer St.......      0.00      63.00
 Zametzer Vz.......      0.00      67.00
 Overkamp..........     69.00      69.00
 Otto.Prov.Zucker.   4000.00    4000.00
 ZOL...    425.00     425.00
 Zumbil........    730.00     730.00
 Wiedmühle.....    430.00     430.00
 Winzerhalle.......    257.00     255.00
 Wadel.....   1200.00    1190.00
 WCVE.........    709.00     709.00
 Wendelinushof...........    315.00     318.00
 WaheEinhorn...   1250.00    1250.00
 Wollschaf........    127.00     124.00
 Zeunert.....    125.00     125.00
 Wollkontor Primaflora..........    412.00     412.00
 Feti.....     75.50      75.00
 02.09.95              Kassa     Vortag
 Voets...........    400.00     400.00
 Floristikservice&Kreativwerkstatt Contze...   1650.00    1650.00
 F&A..    926.00     925.00
 Fleuristik.....    285.00     285.00
 Folib..........    142.00     140.00
 Vangenhassend...........    149.00     145.00
 Schmidsedt Afib..    650.00     650.00
 Fester.......    425.00     425.00
 Flaschenmeisterei......    540.00     540.00
 FBF.Boden...    455.00     455.00
 Unterriedl.   3300.00    3300.00
 VMER...   6900.00    6900.00
 VLV........    800.00     800.00
 Verawa.........    585.00     595.00
 Vihiku....    157.00     157.00
 VFKI Braeu.....    153.00     153.00
 02.09.95              Kassa     Vortag
 Uestra...........     58.00      58.00
 Antiquarium Stuertz.    285.00     285.00
 Ringelnatz-Buchhandlung..............    234.00     232.00
 Rasky.   2550.00    2550.00
 Roegels..........    240.00     240.00
 RMH.   1050.00    1050.00
 K.Kroonen.......   3100.00    3100.00
 Tuelays-hairtrend.........    147.00     149.00
 TopKauf............    480.00     480.00
 TIFM Vermoeg.St...    590.00     590.00
 WKM Vermoeg.Vz...    555.00     555.00
 toxic St...........    290.00     290.00
 toxic Vz...........    270.00     270.00
 Wuerttemb.EVE...    700.00     700.00
 Nils.............    135.00     135.00

 Quelle: Reisebüro Moissl

   M.f.G.

   Erwin Verhuelsdonk
   ---------------------------------------------------------------

   Ophctj@ahuj.icfc.wkh
   13937 Metterich
